,points,rebounds,assists,date,made_field_goals,made_three_point_field_goals,made_free_throws,offensive_rebounds,defensive_rebounds,team,location,opponent,outcome,seconds_played,attempted_three_point_field_goals,attempted_free_throws,attempted_field_goals,steals,blocks,turnovers,personal_fouls,game_score,minutes_played,true_shooting,
Kristaps Porziņģis,4,5,1,19_11_11,1,1,1,0,5,DALLAS_MAVERICKS,AWAY,BOSTON_CELTICS,LOSS,1190,4,1,11,0,1,1,5,-3.4,19.83,0.13,1
Luka Dončić,34,6,9,19_11_11,11,3,9,0,6,DALLAS_MAVERICKS,AWAY,BOSTON_CELTICS,LOSS,2027,10,10,21,0,0,1,2,29.6,33.78,0.48,9
Maxi Kleber,15,8,2,19_11_11,4,4,3,5,3,DALLAS_MAVERICKS,AWAY,BOSTON_CELTICS,LOSS,1964,8,4,10,0,1,0,2,14.9,32.73,0.38,2
Seth Curry,2,1,1,19_11_11,1,0,0,0,1,DALLAS_MAVERICKS,AWAY,BOSTON_CELTICS,LOSS,1288,4,0,6,0,0,1,4,-3.4,21.47,0.1,1
Tim Hardaway,9,4,1,19_11_11,3,1,2,0,4,DALLAS_MAVERICKS,AWAY,BOSTON_CELTICS,LOSS,1238,7,3,11,0,1,0,3,3.5,20.63,0.233,1
Brad Wanamaker,10,4,2,19_11_11,4,0,2,1,3,BOSTON_CELTICS,HOME,DALLAS_MAVERICKS,WIN,1264,2,2,7,0,0,0,3,8.5,21.07,0.506,2
Carsen Edwards,0,2,1,19_11_11,0,0,0,0,2,BOSTON_CELTICS,HOME,DALLAS_MAVERICKS,WIN,308,1,0,1,0,0,0,2,-0.2,5.13,0,1
Daniel Theis,11,5,3,19_11_11,4,0,3,0,5,BOSTON_CELTICS,HOME,DALLAS_MAVERICKS,WIN,1312,0,4,4,1,1,0,5,12.7,21.87,0.955,3
Enes Kanter,2,3,0,19_11_11,1,0,0,1,2,BOSTON_CELTICS,HOME,DALLAS_MAVERICKS,WIN,354,0,0,1,0,0,0,0,3,5.9,1,0
Grant Williams,2,2,0,19_11_11,0,0,2,0,2,BOSTON_CELTICS,HOME,DALLAS_MAVERICKS,WIN,457,1,2,1,0,1,1,1,1.2,7.62,0.347,0
Javonte Green,9,2,0,19_11_11,4,1,0,1,1,BOSTON_CELTICS,HOME,DALLAS_MAVERICKS,WIN,805,3,1,8,2,0,0,4,6,13.42,0.393,0
Jaylen Brown,25,11,3,19_11_11,9,2,5,3,8,BOSTON_CELTICS,HOME,DALLAS_MAVERICKS,WIN,2289,4,7,16,0,0,1,4,20.6,38.15,0.542,3
Jayson Tatum,5,8,4,19_11_11,1,0,3,3,5,BOSTON_CELTICS,HOME,DALLAS_MAVERICKS,WIN,2094,3,4,18,1,0,1,3,-2.4,34.9,0.11,4
Kemba Walker,29,5,5,19_11_11,9,8,3,0,5,BOSTON_CELTICS,HOME,DALLAS_MAVERICKS,WIN,1987,14,4,17,0,1,3,1,22.6,33.12,0.443,1.67
Marcus Smart,17,1,6,19_11_11,6,4,1,1,0,BOSTON_CELTICS,HOME,DALLAS_MAVERICKS,WIN,2193,7,1,9,0,1,2,1,16.3,36.55,0.517,3
Robert Williams,6,3,1,19_11_11,3,0,0,0,3,BOSTON_CELTICS,HOME,DALLAS_MAVERICKS,WIN,1022,0,0,4,0,1,0,2,5.9,17.03,0.75,1
Semi Ojeleye,0,0,0,19_11_11,0,0,0,0,0,BOSTON_CELTICS,HOME,DALLAS_MAVERICKS,WIN,315,0,0,0,0,0,1,1,-1.4,5.25,0,0
Andrew Wiggins,33,6,5,19_11_11,12,3,6,0,6,MINNESOTA_TIMBERWOLVES,AWAY,DETROIT_PISTONS,WIN,2157,5,8,20,1,1,2,0,28,35.95,0.579,2.5
Gorgui Dieng,9,7,1,19_11_11,4,0,1,1,6,MINNESOTA_TIMBERWOLVES,AWAY,DETROIT_PISTONS,WIN,1031,1,2,7,2,1,1,1,9.8,17.18,0.507,1
Jake Layman,16,2,1,19_11_11,6,4,0,2,0,MINNESOTA_TIMBERWOLVES,AWAY,DETROIT_PISTONS,WIN,1980,5,1,9,2,1,3,1,13.1,33,0.554,0.33
Jarrett Culver,7,2,2,19_11_11,3,1,0,0,2,MINNESOTA_TIMBERWOLVES,AWAY,DETROIT_PISTONS,WIN,1353,2,0,8,0,0,1,3,2.4,22.55,0.35,2
Jordan McLaughlin,3,3,4,19_11_11,1,0,1,1,2,MINNESOTA_TIMBERWOLVES,AWAY,DETROIT_PISTONS,WIN,717,2,1,4,0,0,1,1,3.3,11.95,0.233,4
Josh Okogie,2,4,0,19_11_11,0,0,2,2,2,MINNESOTA_TIMBERWOLVES,AWAY,DETROIT_PISTONS,WIN,1514,2,2,4,1,0,3,1,-1.2,25.23,0.145,0
Karl-Anthony Towns,25,8,6,19_11_11,10,4,1,2,6,MINNESOTA_TIMBERWOLVES,AWAY,DETROIT_PISTONS,WIN,1819,7,1,17,0,2,1,4,23.3,30.32,0.511,6
Noah Vonleh,2,3,1,19_11_11,1,0,0,0,3,MINNESOTA_TIMBERWOLVES,AWAY,DETROIT_PISTONS,WIN,1011,0,0,1,0,0,0,4,1.7,16.85,1,1
